,cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
58,SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,4,36,768,348,740
59,SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,3,36,768,76,220
60,SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,1992,6498
61,SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,9/28/2020,9,36,768,1641,4715
62,SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,2173,6708
63,SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,1654,5387
64,STR DATABASE CLUSTER2,STR,Prod,Vmware,TRUE,9/28/2020,6,32,3072,662,2632
65,STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,15,36,768,284,3005
66,STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,72,3072,908,3088
67,STR Database Cluster,STR,Prod,Vmware,TRUE,9/28/2020,6,32,3072,828,3513
68,STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,108,440
69,STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1312,3894
70,STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1287,2696
71,STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,9/28/2020,11,36,768,2321,4194
72,STR Large Windows,STR,Prod,Vmware,FALSE,9/28/2020,3,32,3072,0,0
73,STR Management,STR,Prod,Vmware,TRUE,9/28/2020,4,36,768,210,648
74,STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4003,12377
75,STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,9/28/2020,12,36,1535,2610,7343
76,STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4504,15236
77,STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,9/28/2020,10,36,1535,1900,5903
78,STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,9/28/2020,6,36,768,971,2383
79,STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,216,604
80,Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,9/28/2020,3,24,384,194,479
