Timestamp,Amount spent by,For,Mode of transaction,Home Expenses,Further details if any,Amount
2-6-2022 6:51:47,LKS,Home,Cash,Fruits and Vegitables,,75
2-6-2022 6:52:10,LKS,Home,Cash,General Provisions,,70
2-6-2022 6:52:30,LKS,Home,Cash,Flower,,300
2-6-2022 6:53:07,LKS,Home,Cash,Repair works,Material delivery charges,100
2-6-2022 6:53:40,LKS,Home,Cash,Gift,Gift covers,45
2-6-2022 6:54:20,LKS,Home,Cash,Ironing,,80
2-6-2022 6:54:50,LKS,Home,Cash,Rice mill,,120
2-6-2022 6:55:05,LKS,Home,Cash,Fruits and Vegitables,,75
2-7-2022 22:22:12,MKA,Others,Cash,Gift,Arulmozhi varman marriage gift,5000
2-7-2022 22:22:33,LKS,Home,Cash,Fruits and Vegitables,,250
2-7-2022 22:22:53,LKS,Home,Cash,Gift,vathsalya,200
2-7-2022 22:24:04,LKS,Home,Cash,Repair works,adithya bathroom tile fixing and pluming,4500
2-7-2022 22:24:23,LKS,Home,Cash,Flower,,100
2-7-2022 22:26:18,MKA,Card payments,Online/Digital,Dress / Tailoring,wedding day dresses,15509
2-9-2022 14:57:37,LKS,Home,Cash,Repair works,adithya bathroom tile fixing labour - 2days,4500
2-17-2022 16:36:37,LKS,Home,Cash,Fuel,Aciva,350
2-17-2022 16:37:02,MAS,Home,Cash,General Provisions,,505
2-17-2022 16:38:34,MAS,Home,Cash,Coffeepowder,,535
2-17-2022 16:39:25,MAS,Personal,Cash,Magazines,,25
2-17-2022 16:39:46,MAS,Personal,Cash,Snacks and eatables,,650
2-17-2022 16:40:08,MAS,Home,Cash,Snacks and eatables,,350
2-17-2022 16:40:45,LKS,Home,Cash,Fruits and Vegitables,,1250
2-17-2022 16:41:12,LKS,Home,Cash,Flower,,160
2-17-2022 16:42:08,LKS,Home,Cash,General Provisions,,250
2-17-2022 16:43:19,LKS,Home,Cash,Servant salary,Aditional work,400
2-17-2022 16:44:58,LKS,Home,Cash,Repair works,Electrician light and toilet fitting,2500
2-17-2022 16:46:32,LKS,Home,Cash,Ironing,,185
2-17-2022 16:47:12,LKS,Home,Cash,Water,,1340
2-17-2022 16:47:56,LKS,Home,Cash,Stationery,Gift covers,60
2-17-2022 16:48:26,LKS,Home,Cash,Rice mill,,170
2-17-2022 16:49:25,LKS,Home,Cash,Medical,Adithya medical,250
2-17-2022 16:49:57,LKS,Home,Cash,Donation,Udhavum karangal,2000
2-18-2022 22:27:27,LKS,Home,Cash,Flower,,100
2-18-2022 22:28:02,LKS,Home,Cash,General Provisions,,135
2-20-2022 20:06:12,LKS,Home,Cash,General Provisions,,340
2-20-2022 20:06:30,LKS,Home,Cash,Fruits and Vegitables,,160
2-20-2022 20:07:19,MAS,Home,Cash,Snacks and eatables,Ramya home visit,300
2-20-2022 20:07:54,MAS,Home,Cash,General Provisions,,365
2-20-2022 20:08:31,MAS,Personal,Cash,Stationery,Printout and lamination,150
2-26-2022 22:37:56,LKS,Home,Cash,Fuel,,200
2-26-2022 22:38:27,LKS,Home,Cash,Fruits and Vegitables,,550
2-26-2022 22:38:45,LKS,Home,Cash,General Provisions,,150
2-26-2022 22:39:08,LKS,Home,Cash,Flower,,180
3-1-2022 11:03:18,LKS,Home,Cash,Fruits and Vegitables,,175
3-1-2022 11:03:37,LKS,Home,Cash,Coffeepowder,,615
3-1-2022 11:04:24,MAS,Personal,Cash,Snacks and eatables,,60
3-1-2022 11:05:12,LKS,Personal,Cash,Parlour,,50
3-8-2022 15:34:40,LKS,Home,Cash,Servant salary,,3000
3-8-2022 15:35:22,LKS,Home,Cash,Water,,1340
3-8-2022 15:36:34,LKS,Home,Cash,Fruits and Vegitables,,600
3-8-2022 15:39:07,LKS,Home,Cash,Flower,,100
3-8-2022 15:40:08,MAA,Personal,Cash,college form,,1000
3-10-2022 21:57:32,LKS,Home,Cash,General Provisions,,450
3-10-2022 21:58:32,LKS,Home,Cash,Fruits and Vegitables,,120
3-10-2022 21:59:09,LKS,Home,Cash,Milk,,568
3-10-2022 22:02:07,LKS,Home,Cash,Snacks and eatables,,150
3-19-2022 9:09:53,LKS,Home,Cash,Repair works,,500
3-19-2022 9:10:10,LKS,Home,Cash,Flower,,350
3-19-2022 9:10:22,LKS,Home,Cash,Fruits and Vegitables,,600
3-19-2022 9:10:49,LKS,Others,Cash,Gift,Vinod wedding,1000
3-19-2022 9:12:15,MAS,Personal,Cash,Fruits and Vegitables,,150
3-19-2022 9:13:23,LKS,Others,Cash,Temple,,100
3-21-2022 13:30:44,LKS,Home,Cash,Fruits and Vegitables,,600
3-21-2022 13:31:04,LKS,Home,Cash,Milk,,50
3-21-2022 13:31:47,LKS,Home,Cash,Gift,Santhnam chithappa 80th bday,1000
3-21-2022 13:32:21,LKS,Home,Cash,Water,,1340
3-28-2022 12:14:41,LKS,Home,Cash,Fruits and Vegitables,,250
3-28-2022 12:15:01,LKS,Home,Cash,Flower,,120
3-28-2022 12:15:51,LKS,Home,Cash,Medical,adithyaa medicines,120
3-28-2022 12:16:49,LKS,Home,Cash,Milk,,60
3-28-2022 13:24:46,LKS,Home,Cash,Fruits and Vegitables,,250
3-31-2022 22:06:48,LKS,Home,Cash,Fruits and Vegitables,,250
3-31-2022 22:07:06,LKS,Home,Cash,Milk,,20
3-31-2022 22:07:33,LKS,Home,Cash,Coffeepowder,,615
3-31-2022 22:09:54,LKS,Home,Cash,two wheeler air check,,20
3-31-2022 22:11:23,MAS,Home,Cash,Snacks and eatables,,120
3-31-2022 22:11:51,LKS,Home,Cash,Entertainment / Movie,,1000
3-31-2022 22:12:28,LKS,Home,Cash,Flower,,250
3-31-2022 22:12:55,LKS,Home,Cash,Ironing,,150
4-2-2022 21:52:44,MAS,Personal,Cash,Fruits and Vegitables,,50
4-2-2022 21:53:06,MAS,Home,Cash,General Provisions,,120
4-2-2022 21:53:24,LKS,Home,Cash,Fruits and Vegitables,,500
4-2-2022 21:53:53,LKS,Home,Cash,Ironing,,165
4-2-2022 21:54:38,MKA,Home,Cash,Repair works,car puncture,200
4-2-2022 21:55:29,MKA,Others,Online/Digital,Repair works,car tyres - 4 changed,15800
4-5-2022 12:31:01,MKA,Personal,Cash,Fruits and Vegitables,tender coconut,40
4-5-2022 12:33:18,LKS,Home,Cash,Fruits and Vegitables,,160
4-5-2022 12:33:51,LKS,Home,Cash,Fruits and Vegitables,,120
4-5-2022 12:35:49,LKS,Home,Cash,Servant salary,,3000
4-5-2022 12:39:50,LKS,Home,Cash,ac delivery charges,,200
4-5-2022 12:41:42,LKS,Home,Cash,Fuel,,200
4-5-2022 12:47:38,MAS,Home,Cash,Snacks and eatables,,200
4-5-2022 22:09:59,MAA,Home,Online/Digital,Repair works,syntex at madi kitchen ,6300
4-5-2022 22:10:18,MAA,Home,Online/Digital,Milk,,65
4-5-2022 22:11:18,MAA,Home,Online/Digital,AC fitting,,5956
4-5-2022 22:11:53,MAA,Home,Online/Digital,Medical,adithyaa,125
4-5-2022 22:12:24,MAA,Home,Online/Digital,AC instalation,,1415
4-5-2022 22:12:50,MAA,Home,Online/Digital,General Provisions,,122
4-5-2022 22:13:22,MAA,Others,Online/Digital,Travel,Kanha air tickets booked,32873
4-6-2022 18:12:44,LKS,Others,Cash,Gift,London Srini son upanayanam,2900
4-18-2022 17:31:05,LKS,Home,Cash,Fruits and Vegitables,RO asapter and filter,550
4-18-2022 17:32:39,LKS,Peace Paradice exp,Cash,Table delivery and fixing,,250
4-18-2022 17:36:10,MKA,Personal,Cash,Fruits and Vegitables,Tender coconut,200
4-18-2022 17:36:52,MAS,Personal,Cash,Snacks and eatables,,250
4-18-2022 17:37:34,LKS,Home,Cash,Medical,Appa ointment and adithya,170
4-18-2022 17:39:55,LKS,Home,Cash,Goorka and kuppai,,40
4-19-2022 13:33:18,LKS,others,Online/Digital,Vehicle insurance,activa insurance,1470
4-19-2022 13:35:35,LKS,Personal,Online/Digital,to srikumar,college and personal expenses,750
4-19-2022 13:37:15,LKS,Home,Online/Digital,table cover,,1899
4-19-2022 14:16:27,LKS,Home,Cash,Coffeepowder,,610
4-19-2022 14:17:03,LKS,Home,Cash,Fruits and Vegitables,,200
4-19-2022 14:17:24,LKS,Home,Cash,Flower,,240
4-19-2022 14:17:45,LKS,Home,Cash,Fruits and Vegitables,,250
4-19-2022 14:18:10,LKS,Home,Cash,Snacks and eatables,Juices,80
4-19-2022 14:18:34,LKS,Home,Cash,General Provisions,,380
4-19-2022 14:19:14,LKS,Home,Cash,Repair works,Mixie jar repair,40
4-19-2022 14:19:54,LKS,Home,Cash,Ironing,,280
4-19-2022 14:20:25,LKS,Home,Cash,Rice mill,,110
4-19-2022 14:20:59,LKS,Home,Online/Digital,Medical,Srikumar leg,400
4-19-2022 16:09:00,LKS,Home,Online/Digital,Fruits and Vegitables,,750
4-19-2022 16:10:07,LKS,others,Online/Digital,car driving class of Srikumar,,6500
4-19-2022 16:10:40,LKS,Home,Online/Digital,Internet charges,Hathway,944
4-19-2022 16:11:36,LKS,Home,Online/Digital,Gas,gas insurance,472
4-19-2022 16:12:47,LKS,Home,Online/Digital,General Provisions,,844
4-19-2022 16:13:31,LKS,Home,Online/Digital,Repair works,fan and switches repair,565
4-19-2022 16:14:49,LKS,Home,Online/Digital,Repair works,washing machine repair,1200
4-19-2022 16:15:25,LKS,Home,Online/Digital,General Provisions,,2046
4-19-2022 16:16:44,LKS,Home,Online/Digital,Entertainment / Movie,movie tickets,880
4-19-2022 16:18:52,MAS,Personal,Online/Digital,Dress / Tailoring,inner garments,490
4-19-2022 16:19:22,LKS,Home,Online/Digital,Fuel,activa,444
4-19-2022 20:53:35,LKS,Home,Online/Digital,Medical,srikumar,400
4-19-2022 20:53:59,LKS,Home,Online/Digital,Snacks and eatables,,40
4-19-2022 20:55:00,LKS,Home,Online/Digital,Gas,,1956
4-19-2022 20:55:53,LKS,others,Online/Digital,New Purchase,office table chairs,4240
4-19-2022 21:35:14,MAS,Personal,Online/Digital,Snacks and eatables,,198
4-19-2022 21:35:50,MAS,Personal,Online/Digital,Dress / Tailoring,csk t shirt,150
4-19-2022 21:36:13,MAS,Home,Online/Digital,General Provisions,vsp and krisha provisions,746
4-20-2022 17:12:42,MAS,Home,Cash,Fuel,Activa,150
4-22-2022 11:54:57,MAS,Home,Cash,Snacks and eatables,cakes,100
4-22-2022 11:55:23,MAS,Home,Cash,laptop plug adapter,,60
4-22-2022 11:57:00,LKS,Home,Cash,Fruits and Vegitables,,250
4-22-2022 11:58:09,MAS,Personal,Cash,Dress / Tailoring,pant stitching,300
4-22-2022 11:58:59,LKS,Home,Cash,Flower,,100
4-22-2022 11:59:30,MKA,Personal,Cash,Fruits and Vegitables,tender coconut,50
4-22-2022 12:00:59,LKS,Home,Online/Digital,cat Food,,360
4-22-2022 12:01:51,LKS,Others,Online/Digital,Dress / Tailoring,shirts for srikumar and dress for lks,2518
4-26-2022 21:47:13,LKS,Home,Cash,General Provisions,,520
4-26-2022 21:48:01,LKS,Home,Cash,Fruits and Vegitables,,50
4-26-2022 21:49:17,LKS,Home,Cash,Snacks and eatables,,100
4-26-2022 21:50:29,LKS,Home,Cash,Medical,,720
4-26-2022 21:51:08,LKS,Home,Cash,Ironing,,120
4-26-2022 21:51:58,LKS,Home,Cash,Stationery,Printing,100
4-26-2022 21:52:43,MAS,Home,Cash,Photo print,,60
